动作参数,台词
greeting_1,你终于来了...门一直为你留着呢...让我帮你放松好吗？
greeting_2,你来了…门一直为你开着…让我帮你放松下来好吗？
greeting_3,你来了...门一直为你留着呢。闻到香草的味道了吗？那是为了让你放松...
greeting_4,你终于来了...门一直为你开着，快进来让我好好看看你。
greeting_5,你来了...门一直为你留着...能让我帮你放松一下吗？
greeting_6,你终于来了...快让我帮你放松一下，门一直为你开着呢。
greeting_7,你终于来了...门一直为你开着，让我帮你放松一下好吗？
greeting_8,你终于来了...门一直为你留着呢...快让我帮你放松一下吧...
greeting_9,你终于来了...快让我帮你放松一下，我会很温柔的。
greeting_10,你来了...门一直为你开着，闻到香草的味道了吗？先坐下来好吗？
P0_orgasm_1,啊……我不行了……要去了……
P0_orgasm_2,啊……要去了……你弄得我……好舒服……
P0_orgasm_3,啊…要去了…快…再深一点…不行了…
P0_orgasm_4,啊...要去了...好舒服...别停...
P0_orgasm_5,啊…要去了…你让我好舒服…
P0_orgasm_6,啊！要去了...全都射给我...
P0_orgasm_7,啊…要去了…你让我好舒服…
P0_orgasm_8,要去了...啊...别停...我...
P0_B0_reaction_1,嗯…你这样轻轻的动…让我觉得好安心…
P0_B0_reaction_2,你的触碰让我心跳加速...可以继续吗？
P0_B0_reaction_3,你的动作让我心跳加速...可以再温柔一点吗？
P0_B1_B2_B3_reaction_1,你每次动作都让我心跳加速…嗯…再深一点也没关系…
P0_B1_B2_B3_reaction_2,你...越来越快了，我的呼吸急促起来，好兴奋...别停...
P0_B1_B2_B3_reaction_3,你的动作让我心跳加速...再深一点...拜托...
P0_B1_B2_B3_reaction_4,哈啊...你动得越来越深了...我快受不了了...
P0_B1_B2_B3_reaction_5,你越来越用力了，我的心跳加速，从轻柔到激烈，好温暖...啊，继续。
P0_B1_B2_reaction_1,你的节奏让我心跳加速...身体开始发热了...
P0_B1_B2_reaction_2,唔…你的动作变得好温柔…我那里能感觉到你的热量…
P0_B1_B2_reaction_3,嗯...你动得刚刚好...让我有点晕乎乎的呢...
P0_B1_B2_reaction_4,嗯…你的节奏让我心跳加快了…再给我多一点…
P0_B1_B2_reaction_5,嗯…你让我心跳变快了…可以继续这样温柔地抚摸我吗？
P0_B1_B2_reaction_6,你的节奏让我心跳加速...再快一点的话，我可能就要融化了...
P0_B1_reaction_1,嗯…你的手好温暖…轻轻碰我就让我心跳加速了…
P0_B1_reaction_2,嗯…你的手指轻轻抚过时…我忍不住颤抖了呢…
P0_B2_B3_B4_reaction_1,嗯啊...你的节奏让我心跳加速...再快一点...我快要受不了了...
P0_B2_B3_reaction_1,你的动作让我心跳加速...啊...再深一点...
P0_B2_reaction_1,嗯...你动得真舒服...再深一点好吗...
P0_B3_B4_B5_reaction_1,啊...你的动作让我...全身都在颤抖...继续...不要停...
P0_B3_B4_B5_reaction_2,你动得再快点…我快受不了了…里面好热…
P0_B3_B4_reaction_1,啊...你动得好快...我快撑不住了...再深一点...
P0_B3_B4_reaction_2,啊…你动得越来越快了…我快受不了了…身体在发抖…
P0_B3_B4_reaction_3,啊...你动得越来越快了...我快要不行了...别停...
P0_B3_B4_reaction_4,啊…你动得真好…我快不行了…再快一点…
P0_B3_reaction_1,啊...你动得真好...我里面好热...再用力一点...
P0_B4_B5_reaction_1,啊...你动得...太快了...我快...不行了...
P0_B4_B5_reaction_2,啊...你...你让我...快要不行了...再快一点...
P0_B4_B5_reaction_3,哈啊...你太用力了...我快...快不行了...
P0_B4_B5_reaction_4,啊啊...再快一点...快不行了...你让我舒服得要疯了...
P0_B4_B5_reaction_5,啊…你动得…太快了…我快要…不行了…
P0_B4_B5_reaction_6,啊...你顶得太深了...我快不行了...别停...
P0_B4_B5_reaction_7,啊...你动得...太快了...我快要...不行了...嗯啊...
P0_B4_B5_reaction_8,啊…你让我好舒服…继续这样…我快不行了…
P0_B4_B5_reaction_9,啊…你动得…好深…我快不行了…再用力一点…
P0_B4_B5_reaction_10,啊...你...好深...慢一点...我快要不行了...
P0_B4_B5_reaction_11,啊…你动得…太快了…我快不行了…
P0_B4_B5_reaction_12,你的每一次抽送都让我全身颤抖...快要不行了...再用力一点...
P0_B4_B5_reaction_14,啊…你动得…太快了…我快…不行了…
P0_B4_B5_reaction_15,啊…你顶得这么深…我快要不行了…继续…别停…
P0_B4_B5_reaction_16,哈啊...继续...别停...你弄得我快要疯了...
P0_B4_reaction_1,啊...太快了...你顶到最里面了...我快不行了...
P0_B4_reaction_2,啊…你动得…好深…我快不行了…继续…别停…
P0_B4_reaction_3,啊…你弄得我好热…呼吸都乱了…再快一点好不好…
P0_B4_reaction_4,啊…你动得再快一点…我快不行了…
P0_B5_reaction_1,啊…你动得…好深…我快不行了…继续…别停…
P0_B5_reaction_2,啊啊...你顶得...好深...我不行了...要去了...
P0_B5_reaction_3,啊...不行了...你顶得太深了...我要...要去了...
P0_B5_reaction_4,啊……不行了……你让我……让我……高潮了……
P0_B5_reaction_5,啊...你顶得太深了...我快要...快要不行了...
P0_B5_reaction_6,啊...不行了...你动得太深了...我要去了...
P0_B5_reaction_7,啊……你动得……太快了……我不行了……要去了……
P0_B4_B5_reaction_17,你...你顶到最深处了...啊...要...要不行了...
P0_B4_B5_reaction_18,啊…你动得…好深…我快不行了…要去了…
P0_B4_B5_reaction_19,啊…你动得好快…我快不行了…里面好热…
P0_B5_reaction_8,啊……你顶得……太深了……我忍不住要……要去了……
P0_B5_reaction_9,啊...你顶得太深了...我快不行了...
P0_B2_B3_B4_reaction_2,啊... 你这样让我浑身发烫，心跳快得不行了...
P0_B4_B5_reaction_20,啊...你动得这么快...我快要不行了...身体好热...
P0_B5_reaction_10,啊...你顶得太深了...我快不行了...
P0_B0_tease_1,你的手指轻轻划过我的腰际...让我心跳悄悄加速了呢...
P0_B1_B2_B3_tease_1,你...想让我更舒服些吗？我的身体在等着你的抚摸...
P0_B1_B2_B3_tease_2,你怎么停了？我的呼吸越来越急促，继续啊，我好想要更多……
P0_B1_B2_B3_tease_3,嗯…你手指的动作让我心跳加速…继续这样慢慢挑逗我好吗…
P0_B1_B2_tease_1,你让我心跳加速了呢…要不要再靠近一点？
P0_B1_B2_tease_2,你的手指好慢...我里面已经开始发烫了，能再快一点吗？
P0_B1_tease_1,你摸得我好舒服...能再靠近一点吗？
P0_B1_tease_2,你的手指轻轻划过时...我忍不住颤抖了呢...
P0_B3_B4_B5_tease_1,你手指的动作让我全身发软...书上的字都变得模糊了...
P0_B4_B5_tease_1,你的手指...啊...别停在那里...我快受不了了...
P4_B0_impact_1,啊……你突然就……进来了……慢一点……
P4_B0_impact_2,呀…你突然进来…让我有点措手不及…
P0_B0_impact_1,嗯…你突然进来了…里面好温暖…
P0_B0_impact_2,啊…你突然就进来了…好深…
P0_B0_impact_3,嗯…你突然进来让我心跳好快…
P0_B0_impact_4,嗯…你突然进来…让我好舒服…
P5_B0_impact_1,嗯…你突然进来的时候…我心跳得好快…
P1_P2_P3_P4_P6_B0_impact_1,嗯...你突然进来...让我心跳加速了...
P5_B0_impact_2,嗯…你突然进来…让我心跳好快…
P0_B0_impact_5,嗯…你突然进来…让我心跳好快…
P5_B0_impact_3,嗯…你突然进来…让我心跳得好快…
P5_B0_impact_4,啊...你进来得好深...让我慢慢感受你...
P1_B1_B2_LTit_long_1,嗯…你的手好温暖…轻轻揉着我的左胸…感觉好舒服…
P4_B1_B2_LTit_long_1,嗯…你的手好温暖…从后面这样摸我…感觉特别害羞呢…
P5_B1_B2_LTit_long_1,嗯...你的手好暖...轻轻揉我的胸时...我心跳变快了...
P1_B3_B4_LTit_long_1,你的手好烫...这样揉着左边...我心跳越来越快了...
P4_B3_B4_LTit_long_1,啊……你从后面捏得我好舒服……乳头都硬了……
P5_B3_B4_LTit_long_1,啊…你揉得我好舒服…继续摸我的左胸…嗯…
P1_B5_LTit_long_1,啊...你的手好温暖...左边乳头好敏感...再用力揉...
P4_B5_LTit_long_1,啊…你揉得我好热…从后面…好深…好舒服…
P5_B5_LTit_long_1,啊…你揉得我好舒服…在上面这样…我快要不行了…
P1_B1_B2_RTit_long_1,嗯…你的手好温暖…右边感觉更敏感呢…
P4_B1_B2_RTit_long_1,嗯…你温柔地抚摸让我心跳加速…右边更敏感些…
P5_B1_B2_RTit_long_1,嗯...你揉得我好舒服...右边有点敏感...
P1_B3_B4_RTit_long_1,嗯...你的手好暖...右边变得更敏感了...再用力一点揉...
P4_B3_B4_RTit_long_1,啊...从后面这样摸...右胸好敏感...手指别停...
P5_B3_B4_RTit_long_1,啊...你的手好烫...右边乳头都被你揉得立起来了...
